,Index,filename,title,full-date,start-date,mid-date,end-date,circa,geography,country,url,image_url,artist,cleaned_artist,second_artist,Nickname,Notes,Attributed to,Attributed to.1,Attributed to.2,Copy of/After,In Style of,Workshop of,Circle of,width,height,area
10,10,0000015.jpeg,"Crescentia, Countess Zichy",1828,,1828,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/AMICO_CL_103802752;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/amico/clev/cma_.1988.57.jpg,"Ferdinand Georg Waldmüller, European; Central European; Austrian, 1793 - 1865, (artist),",Ferdinand Georg Waldmüller,,,,,,,,,,,159,200,31800
11,11,0000016.jpeg,Portrait of the Wife of Josef von Stadler,1835,,1835,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/LESSING_ART_10310752034;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/lessing/art/lessing_40121967_8b_srgb.jpg,Ferdinand Georg Waldmüller,Ferdinand Georg Waldmüller,,,,,,,,,,,165,196,32340
12,12,0000017.jpeg,"Portrait of Princess Maria von Liechtenstein, Age Two",1836,,1836,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARTSTOR_103_41822000669257;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size2/ucsd/d3869/41822000669257.jpg,"Amerling, Friedrich von, 1803-1887",Friedrich von Amerling,,,,,,,,,,,310,400,124000
13,13,0000018.jpeg,Self-portrait,1848,,1848,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/LESSING_ART_10310752035;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/lessing/art/lessing_39160632_8b_srgb.jpg,Ferdinand Georg Waldmüller,Ferdinand Georg Waldmüller,,,,,,,,,,,159,196,31164
14,14,0000020.jpeg,Portrait of Princess Hanna von Liechtenstein,1878,,1878,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARTSTOR_103_41822000676229;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/ucsd/d3876/41822000676229.jpg,"Makart, Hans, 1840-1884",Hans Makart,,,,,,,,,,,106,200,21200
15,15,0000021.jpeg,Self-Portrait,1878,,1878,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARTSTOR_103_41822000922722;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/ucsd/d3877/41822000922722.jpg,"Makart, Hans, 1840-1884",Hans Makart,,,,,,,,,,,164,200,32800
16,16,0000023.jpeg,Portrait of a Lady (possibly Mrs. Heymann),c. 1894,,1894,,yes,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/LESSING_ART_1039902415;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/lessing/art/lessing_40160210_8b_srgb.jpg,Gustav Klimt,Gustav Klimt,,,,,,,,,,,151,196,29596
17,17,0000024.jpeg,Portrait of Sonja Knips,1898,,1898,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARTSTOR_103_41822000675064;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/ucsd/d3872/41822000675064.jpg,"Klimt, Gustav, 1862-1918",Gustav Klimt,,,,,,,,,,,196,200,39200
18,18,0000025.jpeg,Portrait of a Lady,1898-1899,1898,1898.5,1899,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/LESSING_ART_1039902862;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/lessing/art/lessing_40160232_8b_srgb.jpg,Gustav Klimt,Gustav Klimt,,,,,,,,,,,151,196,29596
19,19,0000026.jpeg,Portrait of Emile Flöge,1902,,1902,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/LARRY_QUALLS_1039760985;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/larry_qualls/d0001/qualls_009804_post_as.jpg,Gustav Klimt,Gustav Klimt,,,,,,,,,,,90,196,17640
20,20,0000028.jpeg,Portrait of Hermine Gallia,1903-1904,1903,1903.5,1904,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/LARRY_QUALLS_1039760995;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/larry_qualls/d0001/qualls_009814_post_as.jpg,Gustav Klimt,Gustav Klimt,,,,,,,,,,,109,196,21364
21,21,0000029.jpeg,Portrait of Ria Munk III,1917-1918,1917,1917.5,1918,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/AMCADIG_10310847913;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/mcad/d0001/kohl_mcad_07083106_8b_srgb.jpg,"Gustav Klimt (Austrian painter, 1862 - 1918 )",Gustav Klimt,,,,,,,,,,,96,196,18816
22,22,0000030.jpeg,Portrait of Leopold Czihaczek,1907,,1907,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARTSTOR_103_41822003853510;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/ucsd/redux/41822003853510.jpg,"Schiele, Egon, 1890-1918",Egon Schiele,,,,,,,,,,,148,196,29008
23,23,0000031.jpeg,Portrait of Friederike Maria Beer,1916,,1916,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/AMCADIG_10310847912;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/mcad/d0001/kohl_mcad_07083105_8b_srgb.jpg,"Gustav Klimt (Austrian painter, 1862 - 1918 )",Gustav Klimt,,,,,,,,,,,149,196,29204
24,24,0000032.jpeg,Self-Portrait,1908,,1908,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARTSTOR_103_41822000669521;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/ucsd/d3870/41822000669521.jpg,"Gerstl, Richard, 1883-1908",Richard Gerstl,,,,,,,,,,,151,200,30200
25,25,0000033.jpeg,Commerce Counselor Ebenstein Portrait of the Tailor Ebenstein,1908,,1908,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/AMICO_CHICAGO_1031150645;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/amico/chicago/aic_.e09392_8srgb.jpg,Oskar Kokoschka,Oskar Kokoschka,,,,,,,,,,,155,196,30380
26,26,0000034.jpeg,Portrait of Gerti Schiele,1909,,1909,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/AMOMA_10312309632;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/moma/d9999/451_1982_cr_8b_srgb.jpg,"Egon Schiele, Austrian, 1890-1918",Egon Schiele,,,,,,,,,,,195,196,38220
27,27,0000035.jpeg,Self-portrait with Spread Fingers,1909,,1909,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARTSTOR_103_41822003853528;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/ucsd/redux/41822003853528.jpg,"Schiele, Egon, 1890-1918",Egon Schiele,,,,,,,,,,,76,196,14896
28,28,0000036.jpeg,Self-Portrait Nude,1909,,1909,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARTSTOR_103_41822000677383;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/ucsd/d3881/41822000677383.jpg,"Schiele, Egon, 1890-1918",Egon Schiele,,,,,,,,,,,65,200,13000
29,29,0000037.jpeg,Portrait of a Woman with Black Hat (Gertrude Schiele),1909,,1909,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/LESSING_ART_10310120094;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/lessing/art/lessing_39160458_8b_srgb.jpg,Egon Schiele,Egon Schiele,,,,,,,,,,,196,193,37828
30,30,0000038.jpeg,Self-Portrait with Hand on Cheek,1910,,1910,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/AMCADIG_10313213700;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/mcad/d0001/09090902.jpg,"Egon Schiele (Austrian painter, 1890-1918)",Egon Schiele,,,,,,,,,,,134,196,26264
31,31,0000039.jpeg,Self-portrait,1910,,1910,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/SCALA_ARCHIVES_10310195412;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/scala/archives/scala_0056561g_post.jpg,Egon Schiele,Egon Schiele,,,,,,,,,,,138,196,27048
32,32,0000040.jpeg,Portrait of the Painter Karl Zakovsek,1910,,1910,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARTSTOR_103_41822003853536;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/ucsd/redux/41822003853536.jpg,"Schiele, Egon, 1890-1918",Egon Schiele,,,,,,,,,,,176,196,34496
33,33,0000041.jpeg,Portrait of Arthur Roessler,1910,,1910,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARTSTOR_103_41822000677433;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/ucsd/d3881/41822000677433.jpg,"Schiele, Egon, 1890-1918",Egon Schiele,,,,,,,,,,,200,195,39000
34,34,0000042.jpeg,Portrait of the Painter Max Oppenheimer,1910,,1910,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARTSTOR_103_41822003853668;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/ucsd/redux/41822003853668.jpg,"Schiele, Egon, 1890-1918",Egon Schiele,,,,,,,,,,,138,196,27048
35,35,0000043.jpeg,Portrait of the Painter Max Oppenheimer,1910,,1910,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARTSTOR_103_41822003853643;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/ucsd/redux/41822003853643.jpg,"Schiele, Egon, 1890-1918",Egon Schiele,,,,,,,,,,,130,196,25480
36,36,0000044.jpeg,Poet (Self-portrait),1911,,1911,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/LESSING_ART_10310120089;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/lessing/art/lessing_39160426_8b_srgb.jpg,Egon Schiele,Egon Schiele,,,,,,,,,,,196,196,38416
37,37,0000045.jpeg,Self-portrait with Spread Fingers,1911,,1911,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/LESSING_ART_10310119994;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/lessing/art/lessing_40160145_post_8b_srgb.jpg,Egon Schiele,Egon Schiele,,,,,,,,,,,196,160,31360
38,38,0000046.jpeg,Self-Portrait with Spread Fingers,1911,,1911,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARTSTOR_103_41822000677474;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/ucsd/d3881/41822000677474.jpg,"Schiele, Egon, 1890-1918",Egon Schiele,,,,,,,,,,,200,157,31400
39,39,0000047.jpeg,Self-portrait with Bent Head; study for Hermits,1912,,1912,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/LESSING_ART_10310120001;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size2/lessing/art/lessing_40170212_8b_srgb.jpg,Egon Schiele,Egon Schiele,,,,,,,,,,,315,396,124740
40,40,0000048.jpeg,Self-portrait with Chinese Lantern and Fruits,1912,,1912,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/LESSING_ART_10310120004;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/lessing/art/lessing_40170215_8b_srgb.jpg,Egon Schiele,Egon Schiele,,,,,,,,,,,196,163,31948
41,41,0000049.jpeg,Portrait of Herwarth Walden,c. 1910,,1910,,yes,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/LESSING_ART_10310752619;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/lessing/art/lessing_40170409_8b_srgb.jpg,Oskar Kokoschka (1886-1980),Oskar Kokoschka,,,,,,,,,,,140,196,27440
42,42,0000050.jpeg,Portrait of Wally,1912,,1912,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/LESSING_ART_10310120005;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/lessing/art/lessing_40170216_post_8b_srgb.jpg,Egon Schiele,Egon Schiele,,,,,,,,,,,196,160,31360
43,43,0000052.jpeg,Self-Portrait,1913,,1913,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/AMOMA_10312311107;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/moma/d9999/26_1940_cr_8b_srgb.jpg,"Oskar Kokoschka, Austrian, 1886-1980",Oskar Kokoschka,,,,,,,,,,,118,196,23128
44,44,0000053.jpeg,Portrait of Carl Moll (1861-1945),1913,,1913,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/LESSING_ART_10310752529;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/lessing/art/lessing_40160154_8b_srgb.jpg,Oskar Kokoschka (1886-1980),Oskar Kokoschka,,,,,,,,,,,142,196,27832
45,45,0000054.jpeg,Portrait of Eugenia Primavesi,1913-1914,1913,1913.5,1914,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/LARRY_QUALLS_1039760987;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/larry_qualls/d0001/qualls_009806_post_as.jpg,Gustav Klimt,Gustav Klimt,,,,,,,,,,,123,196,24108
46,46,0000056.jpeg,Portrait of Edith Schiele in Striped Dress,1915,,1915,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARTSTOR_103_41822000677680;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/ucsd/d3882/41822000677680.jpg,"Schiele, Egon, 1890-1918",Egon Schiele,,,,,,,,,,,117,200,23400
47,47,0000057.jpeg,Portrait of a Girl,c. 1913,,1913,,yes,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/LESSING_ART_10310750810;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/lessing/art/lessing_40160230_8b_srgb.jpg,Oskar Kokoschka (1886-1980),Oskar Kokoschka,,,,,,,,,,,159,196,31164
48,48,0000059.jpeg,Portrait of Johann Harms,1916,,1916,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/AGUGGENHEIMIG_10313463663;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/gernsheim/d0001/gugg_perm_69.1884_ph_as_8b_srgb.jpg,Egon Schiele,Egon Schiele,,,,,,,,,,,156,196,30576
49,49,0000060.jpeg,Self-Portrait,1917,,1917,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/LESSING_ART_10310750809;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size2/lessing/art/lessing_40150340_8b_srgb.jpg,Oskar Kokoschka (1886-1980),Oskar Kokoschka,,,,,,,,,,,304,396,120384
50,50,0000061.jpeg,Portrait of a Woman,1917-1918,1917,1917.5,1918,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/LESSING_ART_1039902529;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/lessing/art/lessing_39160365_8b_srgb.jpg,Gustav Klimt,Gustav Klimt,,,,,,,,,,,98,196,19208
51,51,0000063.jpeg,Portrait of Paris von Gütersloh,1918,,1918,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/AMICO_MINIAPOLIS_103820333;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/amico/miniapolis/mia_.124c.jpg,"Egon Schiele, European; Central European; Austrian, 1890 - 1918, (painter),",Egon Schiele,,,,,,,,,,,157,200,31400
52,52,0000064.jpeg,Portrait of Painter Paris von Gutersloh,1918,,1918,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARTSTOR_103_41822000677797;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/ucsd/d3882/41822000677797.jpg,"Schiele, Egon, 1890-1918",Egon Schiele,,,,,,,,,,,147,200,29400
53,53,0000066.jpeg,Portrait of a Man ('Léal Souvenir'),1432,,1432,,,Europe,Belgium,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ANGLIG_10313768465;prevRouteTS=1568655125183,https://mdxdv.artstor.org/thumb/imgstor/size1/angl/d0001/ng_london_ng290_8b_srgb.jpg,"Jan van Eyck, active 1422; died 1441",Jan van Eyck,,,,,,,,,,,110,196,21560
54,54,0000067.jpeg,Portrait of a Franciscan (?),before 1432,1398,1432,1432,,Europe,Belgium,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ANGLIG_10313766579;prevRouteTS=1568655125183,https://mdxdv.artstor.org/thumb/imgstor/size1/angl/d0001/ng_london_ng6377_8b_srgb.jpg,"Workshop of Robert Campin, 1378/9 - 1444",Unsure,,,,,,,,,Robert Campin,,136,196,26656
55,55,0000071.jpeg,Man in a Red Turban (Self Portrait?),1433,,1433,,,Europe,Belgium,https://library-artstor-org.proxy.library.upenn.edu/#/asset/LESSING_ART_1039490475;prevRouteTS=1568655125183,https://mdxdv.artstor.org/thumb/imgstor/size1/lessing/art/lessing_39190254_srgb.jpg,Jan van Eyck,Jan van Eyck,,,,,,,,,,,150,196,29400
56,56,0000094.jpeg,A Woman,about 1435,,1435,,yes,Europe,Belgium,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ANGLIG_10313766578;prevRouteTS=1568655125183,https://mdxdv.artstor.org/thumb/imgstor/size1/angl/d0001/ng_london_ng653_2_8b_srgb.jpg,"Robert Campin, 1378/9 - 1444",Robert Campin,,,,,,,,,,,133,196,26068
57,57,0000095.jpeg,A Man,about 1435,,1435,,yes,Europe,Belgium,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ANGLIG_10313766577;prevRouteTS=1568655125183,https://mdxdv.artstor.org/thumb/imgstor/size1/angl/d0001/ng_london_ng653_1_8b_srgb.jpg,"Robert Campin, 1378/9 - 1444",Robert Campin,,,,,,,,,,,133,196,26068
58,58,0000101.jpeg,Portrait of a Carthusian,1446,,1446,,,Europe,Belgium,https://library-artstor-org.proxy.library.upenn.edu/#/asset/MMA_IAP_1039651170;prevRouteTS=1568655125183;iap=true,https://mdxdv.artstor.org/thumb/imgstor/size1/met/d0001/mma_dt26_post_8b_srgb.jpg,"Petrus Christus, Netherlandish, active by 1444, died 1475/76",Petrus Christus,,,,,,,,,,,142,196,27832
59,59,0000102.jpeg,Portrait of a Goldsmith,c.1432-36,1432,1434,1436,yes,Europe,Belgium,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARTSTOR_103_41822000801280;prevRouteTS=1568655125183,https://mdxdv.artstor.org/thumb/imgstor/size1/ucsd/d4048/41822000801280.jpg,Follower of Jan van Eyck,Unsure,,,,,,,,,,Jan van Eyck,135,200,27000
60,60,0000106.jpeg,Portrait of a Lady,about 1460,,1460,,yes,Europe,Belgium,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ANGLIG_10313767352;prevRouteTS=1568655125183,https://mdxdv.artstor.org/thumb/imgstor/size1/angl/d0001/ng_london_ng1433_8b_srgb.jpg,"Workshop of Rogier van der Weyden, about 1399 - 1464",Unsure,,,,,,,,,Rogier van der Weyden,,144,196,28224
61,61,0000109.jpeg,Portrait of a Man,c. 1470,,1470,,yes,Europe,Belgium,https://library-artstor-org.proxy.library.upenn.edu/#/asset/AMICO_FRICK_103804842;prevRouteTS=1568655125183,https://mdxdv.artstor.org/thumb/imgstor/size1/amico/frick/tfc_.memling.68-1-169.jpg,"Hans Memling, European; Flemish, c.1440-1494",Hans Memling,,,,,,,,,,,135,200,27000
62,62,0000110.jpeg,Portrait of a Man Praying [possibly Ludovico Portinari],c. 1479,,1479,,yes,Europe,Belgium,https://library-artstor-org.proxy.library.upenn.edu/#/asset/AMICO_PHILADELPHIA_103884317;prevRouteTS=1568655125183,https://mdxdv.artstor.org/thumb/imgstor/size1/amico/phil/pma_cat._327.jpg,"Master of the Legend of Saint Ursula, Netherlandish (active Bruges), active c. 1470 - c. 1500",Master of the Legend of Saint Ursula,,,,,,,,,,,141,196,27636
63,63,0000111.jpeg,Portrait of an Elderly Woman,1484-1485,1484,1484.5,1485,,Europe,Belgium,https://library-artstor-org.proxy.library.upenn.edu/#/asset/LESSING_ART_1039902560;prevRouteTS=1568655125183,https://mdxdv.artstor.org/thumb/imgstor/size1/lessing/art/lessing_40030622_8b_srgb.jpg,Hans Memling,Hans Memling,,,,,,,,,,,163,196,31948
64,64,0000112.jpeg,"Philip the Handsome, Holding a FalconPortrait of a Young Nobleman",c. 1490,,1490,,yes,Europe,Belgium,https://library-artstor-org.proxy.library.upenn.edu/#/asset/FRICKIG_10310498672;prevRouteTS=1568655125183,https://mdxdv.artstor.org/thumb/imgstor/size1/frick/d0001/w5438_post_8b.jpg,"Master of the Legend of the Magdalen (Flemish, op.1510-1520)",Master of the Legend of the Magdalen,,,,,,,,,,,153,196,29988
65,65,0000113.jpeg,Portrait of a Man,1480-1490,1480,1485,1490,,Europe,Belgium,https://library-artstor-org.proxy.library.upenn.edu/#/asset/FRICKIG_10310498533;prevRouteTS=1568655125183,https://mdxdv.artstor.org/thumb/imgstor/size1/frick/d0001/w7729_post_8b.jpg,"Flemish School (15th century) (Flemish, 15th C.) (attributed to)",Anonymous,,,Flemish School,,,,,,,,150,196,29400
66,66,0000114.jpeg,Portrait of a Cleric,ca. 1490,,1490,,yes,Europe,Belgium,https://library-artstor-org.proxy.library.upenn.edu/#/asset/AWSS35953_35953_32667197;prevRouteTS=1568655125183;iap=true,https://mdxdv.artstor.org/thumb/imgstor/size1/sslps/c35953/12497512.jpg,"Flemish, Attributed to Master of the Legend of Saint Ursula, previous attribution",Unsure,,,,Master of the Legend of Saint Ursula,,,,,,,135,196,26460
67,67,0000116.jpeg,Maria Portinari,15th C,1400,1450,1499,,Europe,Belgium,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARTSTOR_103_41822003715073;prevRouteTS=1568655125183,https://mdxdv.artstor.org/thumb/imgstor/size1/ucsd/d6014/41822003715073.jpg,"Memling, Hans, 1430?-1494",Hans Memling,,,,,,,,,,,146,200,29200
68,68,0000118.jpeg,Portrait of a Gentleman,15th C,1400,1450,1499,,Europe,Belgium,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARTSTOR_103_41822001052479;prevRouteTS=1568655125183,https://mdxdv.artstor.org/thumb/imgstor/size1/ucsd/d4098/41822001052479.jpg,"Weyden, Rogier van der, 1399 or 1400-1464",Rogier van der Weyden,,,,,,,,,,,135,200,27000
